Number,Name,Designation,Category,Components,Absolute Magnitute,Quality Code for Best Images,NASA Link
488453,,1994 XD,PHA,2.0,19.24,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=488453
488515,,2001 FE90,PHA,1.0,20.71,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=488515
490581,,2009 WZ104,PHA,1.0,20.85,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=490581
494658,,2000 UG11,PHA,2.0,20.71,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=494658
494999,,2010 JU39,PHA,1.0,19.67,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=494999
503941,,2003 UV11,PHA,1.0,19.65,5.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=503941
505657,,2014 SR339,PHA,1.0,18.48,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=505657
506459,,2002 AL14,NEA,1.0,17.97,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=506459
509352,,2007 AG,PHA,1.0,20.16,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=509352
509935,,2009 QL8,PHA,1.0,19.54,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=509935
511137,,2013 XM24,NEA,1.0,18.98,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=511137
511684,,2015 BN509,PHA,1.0,20.79,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=511684
518810,,2010 CF19,PHA,1.0,21.85,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=518810
522684,,2016 JP,PHA,1.0,21.13,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=522684
523625,,2008 DG17,NEA,2.0,19.63,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=523625
523662,,2012 MU2,PHA,1.0,20.77,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=523662
523788,,2015 FP118,PHA,1.0,19.48,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=523788
523804,,2000 YF29,PHA,1.0,20.31,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=523804
523934,,1998 FF14,PHA,1.0,20.62,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=523934
524594,,2003 NW1,PHA,1.0,18.68,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=524594
525231,,2004 VB,PHA,1.0,20.85,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=525231
525268,,2004 XL14,PHA,1.0,21.43,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=525268
525364,,2005 CL7,NEA,1.0,19.63,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=525364
525477,,2005 FC3,NEA,1.0,19.38,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=525477
528159,,2008 HS3,PHA,1.0,21.51,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=528159
529668,,2010 JL33,PHA,1.0,17.89,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=529668
531277,,2012 MM11,PHA,1.0,20.3,5.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=531277
532874,,2013 YZ13,NEA,1.0,19.64,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=532874
533011,,2014 AY28,PHA,1.0,21.85,4.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=533011
533541,,2014 JU54,NEA,1.0,19.92,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=533541
537342,,2015 KN120,NEA,1.0,20.43,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=537342
537395,,2015 LG2,PHA,1.0,20.48,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=537395
612342,,2002 FC,PHA,1.0,19.16,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=612342
612781,,2004 MW2,NEA,1.0,19.38,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=612781
612813,,2004 RF84,PHA,1.0,18.38,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=612813
612901,,2004 XP14,PHA,1.0,19.79,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=612901
612929,,2005 CR37,NEA,1.0,18.9,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=612929
613286,,2005 YQ96,PHA,2.0,20.63,4.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=613286
613676,,2006 WE4,NEA,1.0,18.82,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=613676
613913,,2007 XB10,NEA,1.0,17.78,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=613913
620071,,2011 WN15,PHA,1.0,19.64,5.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=620071
620085,,2014 WG365,PHA,1.0,20.12,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=620085
620090,,2015 FP332,NEA,1.0,17.47,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=620090
671294,,2014 JO25,PHA,1.0,18.02,5.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=671294
674590,,2015 RH2,PHA,1.0,22.0,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=674590
,,1989 AZ,NEA,1.0,19.63,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1989%20AZ
